Estado,Ano,Sorotipo,Casos
Mato Grosso do Sul,2009-06,1.0,39
Mato Grosso do Sul,2009-06,2.0,23
Mato Grosso do Sul,2009-06,3.0,2
Mato Grosso do Sul,2009-06,4.0,3
Mato Grosso do Sul,2009-06,Sem informação,21072
Mato Grosso do Sul,2010-06,1.0,640
Mato Grosso do Sul,2010-06,2.0,50
Mato Grosso do Sul,2010-06,3.0,2
Mato Grosso do Sul,2010-06,4.0,3
Mato Grosso do Sul,2010-06,Sem informação,86023
Mato Grosso do Sul,2011-06,1.0,160
Mato Grosso do Sul,2011-06,4.0,1
Mato Grosso do Sul,2011-06,Sem informação,16217
Mato Grosso do Sul,2012-06,1.0,44
Mato Grosso do Sul,2012-06,2.0,56
Mato Grosso do Sul,2012-06,4.0,30
Mato Grosso do Sul,2012-06,Sem informação,18109
Mato Grosso do Sul,2013-06,1.0,279
Mato Grosso do Sul,2013-06,2.0,48
Mato Grosso do Sul,2013-06,3.0,1
Mato Grosso do Sul,2013-06,4.0,178
Mato Grosso do Sul,2013-06,Sem informação,99362
Mato Grosso do Sul,2014-06,1.0,28
Mato Grosso do Sul,2014-06,2.0,2
Mato Grosso do Sul,2014-06,4.0,36
Mato Grosso do Sul,2014-06,Sem informação,9539
Mato Grosso do Sul,2015-06,1.0,424
Mato Grosso do Sul,2015-06,2.0,23
Mato Grosso do Sul,2015-06,4.0,10
Mato Grosso do Sul,2015-06,Sem informação,47231
Mato Grosso do Sul,2016-06,1.0,182
Mato Grosso do Sul,2016-06,2.0,1
Mato Grosso do Sul,2016-06,Sem informação,60735
Mato Grosso do Sul,2017-06,1.0,26
Mato Grosso do Sul,2017-06,Sem informação,7195
Mato Grosso do Sul,2018-06,1.0,6
Mato Grosso do Sul,2018-06,2.0,48
Mato Grosso do Sul,2018-06,4.0,1
Mato Grosso do Sul,2018-06,Sem informação,10655
Mato Grosso do Sul,2019-06,1.0,22
Mato Grosso do Sul,2019-06,2.0,520
Mato Grosso do Sul,2019-06,3.0,1
Mato Grosso do Sul,2019-06,Sem informação,84720
Mato Grosso do Sul,2020-06,1.0,27
Mato Grosso do Sul,2020-06,2.0,1064
Mato Grosso do Sul,2020-06,4.0,3
Mato Grosso do Sul,2020-06,Sem informação,72046
Mato Grosso do Sul,2021-06,1.0,29
Mato Grosso do Sul,2021-06,2.0,355
Mato Grosso do Sul,2021-06,4.0,1
Mato Grosso do Sul,2021-06,Sem informação,24953
Mato Grosso do Sul,2022-06,1.0,3243
Mato Grosso do Sul,2022-06,2.0,5
Mato Grosso do Sul,2022-06,Sem informação,23109
Mato Grosso do Sul,2023-06,1.0,7135
Mato Grosso do Sul,2023-06,2.0,236
Mato Grosso do Sul,2023-06,Sem informação,37749
Mato Grosso do Sul,2024-06,1.0,1655
Mato Grosso do Sul,2024-06,2.0,299
Mato Grosso do Sul,2024-06,3.0,1
Mato Grosso do Sul,2024-06,4.0,2
Mato Grosso do Sul,2024-06,Sem informação,10963
Minas Gerais,2007-06,1.0,206
Minas Gerais,2007-06,2.0,2
Minas Gerais,2007-06,3.0,88
Minas Gerais,2007-06,4.0,32
Minas Gerais,2007-06,Sem informação,43795
Minas Gerais,2009-06,1.0,264
Minas Gerais,2009-06,2.0,57
Minas Gerais,2009-06,3.0,52
Minas Gerais,2009-06,4.0,2
Minas Gerais,2009-06,Sem informação,82716
Minas Gerais,2010-06,1.0,1094
Minas Gerais,2010-06,2.0,50
Minas Gerais,2010-06,3.0,18
Minas Gerais,2010-06,4.0,12
Minas Gerais,2010-06,Sem informação,265544
Minas Gerais,2011-06,1.0,123
Minas Gerais,2011-06,2.0,3
Minas Gerais,2011-06,4.0,3
Minas Gerais,2011-06,Sem informação,66943
Minas Gerais,2012-06,1.0,109
Minas Gerais,2012-06,2.0,1
Minas Gerais,2012-06,4.0,20
Minas Gerais,2012-06,Sem informação,50798
Minas Gerais,2013-06,1.0,621
Minas Gerais,2013-06,2.0,2
Minas Gerais,2013-06,4.0,143
Minas Gerais,2013-06,Sem informação,503512
Minas Gerais,2014-06,1.0,255
Minas Gerais,2014-06,2.0,1
Minas Gerais,2014-06,4.0,8
Minas Gerais,2014-06,Sem informação,93681
Minas Gerais,2015-06,1.0,653
Minas Gerais,2015-06,2.0,4
Minas Gerais,2015-06,3.0,2
Minas Gerais,2015-06,4.0,8
Minas Gerais,2015-06,Sem informação,257685
Minas Gerais,2016-06,1.0,506
Minas Gerais,2016-06,2.0,6
Minas Gerais,2016-06,3.0,2
Minas Gerais,2016-06,4.0,6
Minas Gerais,2016-06,Sem informação,666395
Minas Gerais,2017-06,1.0,36
Minas Gerais,2017-06,2.0,2
Minas Gerais,2017-06,Sem informação,61498
Minas Gerais,2018-06,1.0,33
Minas Gerais,2018-06,2.0,24
Minas Gerais,2018-06,4.0,1
Minas Gerais,2018-06,Sem informação,59312
Minas Gerais,2019-06,1.0,153
Minas Gerais,2019-06,2.0,480
Minas Gerais,2019-06,3.0,4
