Período,Sorotipo,Casos,Ano,CasosExtrap,Porcentagem
2019-11,2,133,2019-06,22424.0,48.01
2019-11,1,143,2019-06,24110.0,51.62
2019-12,1,126,2019-06,16367.0,26.87
2019-12,2,343,2019-06,44555.0,73.13
2020-01,1,422,2020-06,34318.0,21.37
2020-01,2,1550,2020-06,126051.0,78.48
2020-01,4,3,2020-06,244.0,0.15
2020-02,1,423,2020-06,55056.0,19.02
2020-02,2,1790,2020-06,232978.0,80.49
2020-02,3,3,2020-06,390.0,0.13
2020-02,4,8,2020-06,1041.0,0.36
2020-03,4,10,2020-06,2303.0,0.74
2020-03,1,367,2020-06,84538.0,27.04
2020-03,2,980,2020-06,225742.0,72.22
2020-04,1,336,2020-06,97789.0,42.64
2020-04,2,446,2020-06,129804.0,56.6
2020-04,4,6,2020-06,1746.0,0.76
2020-05,1,219,2020-06,83523.0,50.23
2020-05,2,208,2020-06,79328.0,47.71
2020-05,4,9,2020-06,3432.0,2.06
2020-06,4,3,2020-06,1439.0,1.34
2020-06,2,76,2020-06,36464.0,33.93
2020-06,1,145,2020-06,69570.0,64.73
2020-07,1,77,2020-06,48182.0,70.64
2020-07,2,32,2020-06,20023.0,29.36
2020-08,1,23,2020-06,26802.0,74.19
2020-08,2,8,2020-06,9323.0,25.81
2020-09,1,11,2020-06,14091.0,47.83
2020-09,2,12,2020-06,15372.0,52.17
2020-10,2,8,2020-06,8352.0,32.0
2020-10,1,17,2020-06,17749.0,68.0
2020-11,1,20,2020-06,18226.0,64.52
2020-11,2,11,2020-06,10024.0,35.48
2020-12,1,45,2020-06,25387.0,73.77
2020-12,2,16,2020-06,9026.0,26.23
2021-01,1,105,2021-06,28780.0,57.38
2021-01,2,77,2021-06,21105.0,42.08
2021-01,3,1,2021-06,274.0,0.55
2021-02,4,2,2021-06,558.0,0.6
2021-02,2,165,2021-06,46074.0,49.85
2021-02,3,1,2021-06,279.0,0.3
2021-02,1,163,2021-06,45515.0,49.24
2021-03,1,280,2021-06,73032.0,47.78
2021-03,2,305,2021-06,79552.0,52.05
2021-03,4,1,2021-06,261.0,0.17
2021-04,1,522,2021-06,104183.0,58.26
2021-04,2,372,2021-06,74245.0,41.52
2021-04,4,2,2021-06,399.0,0.22
2021-05,4,5,2021-06,1118.0,0.74
2021-05,2,236,2021-06,52753.0,34.91
2021-05,1,435,2021-06,97235.0,64.35
2021-06,1,253,2021-06,57905.0,58.7
2021-06,2,178,2021-06,40740.0,41.3
2021-07,1,93,2021-06,25257.0,40.79
2021-07,2,135,2021-06,36663.0,59.21
2021-08,1,49,2021-06,24604.0,55.06
2021-08,2,40,2021-06,20084.0,44.94
2021-09,2,9,2021-06,6820.0,19.15
2021-09,1,38,2021-06,28793.0,80.85
2021-10,1,34,2021-06,23572.0,79.07
2021-10,2,7,2021-06,4853.0,16.28
2021-10,3,1,2021-06,693.0,2.32
2021-10,4,1,2021-06,693.0,2.32
2021-11,1,139,2021-06,35720.0,92.05
2021-11,2,12,2021-06,3084.0,7.95
2021-12,4,2,2021-06,216.0,0.29
2021-12,1,663,2021-06,71708.0,95.12
2021-12,2,32,2021-06,3461.0,4.59
2022-01,1,530,2022-06,41477.0,95.32
2022-01,2,24,2022-06,1878.0,4.32
2022-01,4,2,2022-06,157.0,0.36
2022-02,1,986,2022-06,65435.0,89.47
2022-02,2,113,2022-06,7499.0,10.25
2022-02,4,3,2022-06,199.0,0.27
2022-03,3,1,2022-06,58.0,0.03
2022-03,1,3649,2022-06,213315.0,92.85
2022-03,2,280,2022-06,16368.0,7.12
2022-04,4,4,2022-06,245.0,0.06
2022-04,3,1,2022-06,61.0,0.02
2022-04,2,675,2022-06,41393.0,10.96
